TaxonomyInput	nb_genomes	Reads
28037	1	1314603
1313	1	505181
735	1	426416
729	1	246908
726	1	223778
1433513	1	215058
712310	1	169487
1303	1	157763
727	1	138141
2598453	1	125570
1379	1	121449
483	1	57209
43675	1	32918
1302	1	29915
589873	1	27620
113107	1	26690
712633	1	26031
1305	1	21915
488	1	21836
28131	1	20608
487	1	19045
1304	1	14434
732	1	13518
28132	1	11852
84135	1	11484
29391	1	11251
1177574	1	10751
486	1	9645
95486	1	8493
2133944	1	8340
29466	1	8339
739	1	7644
34105	1	7619
75985	1	7498
28449	1	7427
738	1	7349
45634	1	7291
189834	1	7076
249188	1	6682
85404	1	6502
851	1	6439
28135	1	6266
2663009	1	6132
489	1	6127
1307	1	6040
39777	1	5428
2047	1	5108
39778	1	4959
495	1	4690
485	1	4661
837	1	4632
714	1	4631
2610896	1	4513
78535	1	4423
492670	1	4244
731	1	4185
2030797	1	4028
747	1	3861
2382163	1	3824
1343	1	3785
157687	1	3509
199	1	3508
817	1	3358
76123	1	3352
28129	1	3251
2585118	1	3169
715	1	3125
644007	1	3047
1432056	1	3006
821	1	2915
484	1	2831
1156433	1	2774
1338	1	2682
1308	1	2642
85402	1	2637
12402	1	2594
730	1	2573
2679994	1	2483
1328	1	2461
1660	1	2380
1796613	1	2373
716	1	2238
123824	1	1978
28116	1	1938
33040	1	1914
28113	1	1903
1156431	1	1863
51049	1	1860
718	1	1793
1019	1	1735
1351	1	1705
28119	1	1684
36874	1	1602
1491	1	1596
2576606	1	1556
329854	1	1491
1499308	1	1477
1311	1	1476
544580	1	1460
720	1	1457
1624	1	1451
818	1	1379
1335	1	1280
1655	1	1202
1906744	1	1200
762	1	1196
1566990	1	1184
1314	1	1130
28188	1	1128
712710	1	1102
34085	1	1096
47678	1	1074
1032623	1	1062
728	1	1049
754	1	1034
47671	1	1000
860	1	968
712357	1	937
187101	1	915
1583098	1	912
172042	1	894
393921	1	862
820	1	840
1701814	1	817
562	1	804
2606626	1	799
33033	1	780
1839799	1	779
357276	1	764
996	1	751
1496	1	747
248315	1	710
2528203	1	709
1796646	1	705
749	1	690
1280	1	686
246787	1	681
253	1	676
197575	1	653
617123	1	653
1852374	1	645
1359	1	642
1358	1	625
655307	1	621
856	1	614
539	1	598
1502	1	596
114527	1	595
712991	1	585
1334	1	577
371601	1	569
2545799	1	569
1585976	1	567
28901	1	557
1017	1	543
823	1	540
459526	1	528
1642647	1	519
51161	1	518
1428	1	515
327575	1	487
1639	1	480
584	1	479
2708117	1	478
43768	1	475
76860	1	471
1117645	1	469
1642646	1	454
587	1	452
126385	1	452
536441	1	449
1492	1	448
1825069	1	444
1316596	1	434
157691	1	432
670	1	431
1309	1	429
254	1	428
1396	1	423
554406	1	421
674	1	418
2364787	1	416
1433126	1	410
446	1	403
109328	1	402
712368	1	386
237258	1	386
1701813	1	385
36745	1	384
79329	1	384
28251	1	382
1701837	1	376
1352	1	372
1598	1	372
147802	1	371
238	1	367
1520	1	366
204	1	365
64104	1	363
1656	1	363
38293	1	362
470	1	361
1282	1	359
157924	1	351
2583851	1	349
1257021	1	346
2490633	1	345
1562970	1	341
1191459	1	341
1813871	1	341
45243	1	339
756892	1	330
889453	1	328
210	1	325
1241981	1	324
1785996	1	324
703	1	323
157688	1	321
28118	1	321
859	1	320
680	1	318
157692	1	316
2545455	1	314
102684	1	313
2681766	1	310
1329	1	306
1717717	1	305
1400053	1	302
2666100	1	301
2516557	1	298
120683	1	298
1501	1	297
672	1	293
630	1	293
861	1	291
1307839	1	291
2713414	1	290
1346	1	290
661488	1	289
1218801	1	289
2487065	1	283
2259595	1	280
1340	1	278
2487072	1	278
1397	1	278
400065	1	278
1349	1	278
1290	1	278
1345	1	277
1561	1	276
649196	1	276
1238	1	275
44008	1	272
1448274	1	272
2686361	1	272
1150389	1	272
1014	1	270
82348	1	270
1905730	1	269
371142	1	268
712538	1	265
320787	1	265
2751	1	265
1852377	1	264
1316593	1	262
437897	1	261
239935	1	261
250	1	258
1538644	1	253
986	1	253
172045	1	253
33945	1	251
182773	1	250
1505	1	250
96345	1	247
588	1	246
1701842	1	246
2487074	1	245
2494373	1	245
51669	1	245
93973	1	245
48296	1	244
2081703	1	243
1254	1	242
1288	1	241
315405	1	241
1404	1	239
2489595	1	239
1405	1	239
511435	1	239
1010	1	239
1286	1	238
2706887	1	237
1542	1	236
1493872	1	236
1888195	1	235
1936081	1	234
651561	1	233
689	1	233
504	1	233
996801	1	232
1411621	1	231
34062	1	230
2175091	1	230
1168034	1	230
333965	1	229
162	1	228
394958	1	228
1296	1	228
585	1	228
2093856	1	228
1283	1	227
1903686	1	226
2698458	1	226
1406	1	225
266749	1	225
363852	1	222
188932	1	222
2183896	1	222
246	1	221
663	1	221
1848904	1	221
46867	1	220
52773	1	220
1354	1	220
2756	1	219
1747	1	218
33959	1	218
2496028	1	218
713030	1	217
1790137	1	217
480	1	216
2748	1	215
2173853	1	214
28110	1	214
2547394	1	214
584609	1	213
104268	1	211
106654	1	211
1727163	1	210
1604	1	209
2021971	1	208
1513	1	207
1855823	1	207
313603	1	207
2571750	1	205
702745	1	205
1421	1	204
1608047	1	204
29341	1	204
1178516	1	203
1705617	1	202
79604	1	201
