TaxonomyInput	nb_genomes	Reads
821	1	4835490
853	1	456702
820	1	412536
357276	1	307114
1160721	1	283872
817	1	200698
371601	1	176642
28116	1	107974
2093856	1	103672
818	1	98052
28131	1	77401
1796613	1	73270
823	1	70993
28026	1	58948
28129	1	50181
2093857	1	42975
2364787	1	40265
729	1	40024
28118	1	39888
2606626	1	37978
2109688	1	37578
2585118	1	37426
28132	1	35423
28135	1	35317
2109691	1	34199
2528203	1	33761
2585119	1	33235
2494234	1	30720
329854	1	30132
1550024	1	25629
301301	1	24901
292800	1	23683
74426	1	23106
2479767	1	22545
76123	1	19364
1496	1	18431
1796646	1	17045
2109687	1	16520
2133944	1	16519
1642646	1	15730
2584944	1	14418
1177574	1	14306
246787	1	14191
2576606	1	13806
28113	1	12324
28119	1	12310
47678	1	11206
589873	1	11126
2610895	1	10216
39488	1	10036
2086584	1	9895
1686	1	9581
1297617	1	7948
626937	1	7844
2662363	1	7574
239935	1	7488
837	1	6766
33035	1	6556
2109690	1	6320
208479	1	5974
712710	1	5793
649756	1	5633
33038	1	5286
1871021	1	4888
1912897	1	4694
2564099	1	4663
216816	1	4592
2025876	1	4387
28251	1	4363
33025	1	4220
29347	1	4218
1017	1	4132
1642647	1	3618
2584943	1	3530
1433126	1	2960
79329	1	2925
303	1	2889
84030	1	2862
1834196	1	2828
1834198	1	2821
1352	1	2719
253	1	2710
492670	1	2698
2086585	1	2637
36874	1	2605
1042156	1	2574
56	1	2479
1150389	1	2456
40324	1	2452
316	1	2387
1491	1	2347
393921	1	2338
34073	1	2213
1736	1	2210
1562970	1	2190
847	1	2158
384	1	2103
2041044	1	2075
1076	1	1982
197	1	1973
654	1	1972
1796616	1	1965
294	1	1896
54571	1	1870
562	1	1864
1681	1	1808
2093742	1	1805
85698	1	1796
1685	1	1710
1311	1	1689
587753	1	1655
2094242	1	1639
1492	1	1586
1173026	1	1567
2607656	1	1546
731	1	1546
358	1	1543
2507162	1	1542
84112	1	1524
28901	1	1518
287	1	1496
1396	1	1469
1168034	1	1393
253239	1	1352
644	1	1340
727	1	1338
39778	1	1325
