Taxonomy	NbGenomes	Reads
1405	1	577345
28116	1	501076
28132	1	358855
39778	1	260731
145261	1	202977
820	1	165607
39777	1	94901
488	1	93056
246787	1	81882
29466	1	79975
729	1	61360
821	1	57751
371601	1	54708
2610896	1	51949
28449	1	50478
1304	1	39916
732	1	39709
2528203	1	38069
1177574	1	33830
817	1	29707
818	1	29376
244366	1	27270
2047	1	23242
1660	1	23122
43675	1	22501
1796613	1	22111
2663009	1	22071
47678	1	21306
199	1	20994
357276	1	19951
1305	1	19418
1303	1	18558
114527	1	16843
495	1	16213
712357	1	16147
2109688	1	15145
1017	1	14531
712633	1	14138
43768	1	14116
484	1	13441
550	1	13016
823	1	11353
1302	1	10943
487	1	10817
84135	1	10332
28131	1	9721
617123	1	9283
1019	1	9228
329854	1	7945
589873	1	7239
853	1	6671
172042	1	6466
544580	1	5015
113107	1	5008
860	1	4984
33025	1	4733
2093856	1	4594
1655	1	4467
28129	1	4410
1335	1	4283
851	1	4187
95486	1	3904
292800	1	3786
28037	1	3579
78535	1	3507
28113	1	3474
486	1	3278
2109691	1	3220
248315	1	3182
539	1	2844
1839799	1	2814
1550024	1	2728
1852377	1	2694
2545799	1	2676
1750	1	2672
483	1	2550
1313	1	2540
109328	1	2415
327575	1	2392
28135	1	2322
301301	1	2296
28119	1	2233
45634	1	2154
1656	1	2144
485	1	2111
2382163	1	2106
726	1	2038
76123	1	1978
712710	1	1887
1583098	1	1886
727	1	1877
554406	1	1806
2708117	1	1757
47671	1	1725
28118	1	1681
1156433	1	1679
68570	1	1529
655307	1	1500
739	1	1495
1338	1	1472
1526658	1	1429
573	1	1330
2598453	1	1315
157687	1	1305
1156431	1	1292
489	1	1288
52773	1	1275
204	1	1252
837	1	1224
157688	1	1117
33038	1	1097
2572088	1	1075
249188	1	1017
2479767	1	991
1496	1	971
1316596	1	967
216816	1	935
1308	1	934
1379	1	902
1343	1	892
29391	1	890
2718	1	817
649756	1	812
39488	1	810
2109690	1	784
1307	1	773
2585119	1	773
208479	1	772
2585118	1	764
120683	1	759
1433513	1	726
504	1	703
2025876	1	672
1491	1	638
713059	1	625
1639133	1	593
2086584	1	583
1796646	1	583
714	1	551
1539298	1	543
1328	1	538
2662363	1	526
1853278	1	515
1912897	1	513
712310	1	511
157692	1	509
29347	1	500
33035	1	494
1642647	1	483
1834196	1	457
2610895	1	449
2093857	1	447
2528037	1	446
713030	1	421
1871021	1	415
824	1	414
1352	1	412
492	1	408
33033	1	407
562	1	400
712991	1	399
84030	1	399
712538	1	398
2666100	1	394
2133944	1	379
2606626	1	377
239935	1	375
326522	1	371
1884263	1	364
1316593	1	362
185007	1	358
1358	1	353
1042156	1	352
157691	1	350
79329	1	347
197	1	341
1705617	1	332
1351	1	329
84112	1	325
747	1	324
2576606	1	324
1853276	1	323
2093742	1	322
1796616	1	318
1492	1	313
1642646	1	308
393921	1	306
2584943	1	293
1613	1	293
326523	1	289
2081702	1	287
253	1	287
76860	1	287
493	1	269
1297617	1	264
1785996	1	262
1314	1	261
1340	1	256
542	1	254
36874	1	247
1280	1	247
221027	1	246
1562970	1	245
2696063	1	244
45243	1	243
28901	1	242
1309	1	238
1639	1	237
1747	1	237
1834207	1	235
75985	1	233
712122	1	233
640030	1	231
626937	1	222
185008	1	216
34085	1	215
28091	1	214
238	1	213
1117645	1	213
1624	1	212
2109687	1	208
57706	1	207
1428	1	207
1396	1	205
1311	1	203
1905	1	202
