TaxonomyInput	nb_genomes	Reads
199	1	192015
28132	1	166398
28449	1	152986
729	1	137771
2663009	1	127771
1177574	1	112863
39777	1	83177
157687	1	80753
28131	1	59142
39778	1	47565
484	1	40427
712633	1	36973
860	1	26455
712538	1	24642
1304	1	21928
713030	1	18449
1019	1	18293
1017	1	18033
29466	1	16119
43675	1	14898
327575	1	12871
2545799	1	12824
249188	1	12660
487	1	11500
84135	1	11238
851	1	8693
1660	1	7735
712357	1	7702
617123	1	7434
2610896	1	7114
1280	1	7077
28135	1	6870
28037	1	6513
28129	1	6457
589873	1	5635
726	1	4761
1303	1	4547
486	1	4404
157691	1	4311
495	1	4221
727	1	4180
76123	1	3889
488	1	3441
2708117	1	3432
1313	1	3297
837	1	3195
483	1	3090
95486	1	2776
204	1	2525
712368	1	2501
113107	1	2491
1583098	1	2461
1884263	1	2216
109328	1	2214
712710	1	2208
712310	1	2124
1852377	1	2048
732	1	2020
2598453	1	1982
248315	1	1834
1316596	1	1763
735	1	1697
1785996	1	1678
1335	1	1636
485	1	1603
1433513	1	1204
1379	1	1190
489	1	1174
114527	1	1168
157688	1	1084
817	1	1068
1539298	1	1058
1302	1	1040
120683	1	973
78535	1	903
1839799	1	888
739	1	812
713059	1	739
1305	1	724
554406	1	708
2382163	1	701
539	1	664
28113	1	664
29391	1	652
2133944	1	645
1491	1	594
1705617	1	572
52773	1	568
28119	1	567
1328	1	556
1316593	1	556
36874	1	554
818	1	546
357276	1	527
821	1	514
1308	1	506
492670	1	502
859	1	460
853	1	440
45634	1	440
1244531	1	436
747	1	421
1156433	1	416
1496	1	404
33033	1	394
393921	1	374
731	1	372
1156431	1	369
1307	1	355
712991	1	347
2606626	1	342
2572088	1	339
45243	1	334
1343	1	323
172042	1	323
738	1	314
75985	1	311
34085	1	305
2576606	1	303
189834	1	290
28118	1	287
157692	1	285
1340	1	278
28116	1	272
1338	1	271
1428	1	264
2585118	1	256
1585976	1	256
196	1	253
85404	1	247
84030	1	239
730	1	236
824	1	230
1492	1	222
246787	1	222
562	1	222
2572087	1	217
329854	1	216
714	1	215
715	1	214
43768	1	214
2666100	1	214
820	1	212
1502	1	211
504	1	211
1311	1	210
28188	1	209
1796646	1	203
47678	1	203
