Taxonomy	NbGenomes	Reads
589873	1	166850
145261	1	74136
1379	1	60158
487	1	57190
727	1	33120
1328	1	19977
28037	1	19459
43675	1	14584
95486	1	13951
244366	1	13047
1304	1	11645
1313	1	9921
39778	1	9651
851	1	8656
28131	1	8078
1660	1	6504
39777	1	6144
732	1	5670
2610896	1	5008
28132	1	4365
504	1	4351
486	1	3869
562	1	3689
726	1	3638
729	1	3582
1177574	1	3316
10847	1	3292
1433513	1	2832
29391	1	2604
712633	1	2342
29466	1	2342
84135	1	2314
1303	1	2309
485	1	2156
1338	1	2053
33033	1	1994
2598453	1	1899
489	1	1767
573	1	1508
199	1	1421
28449	1	1380
157687	1	1340
1335	1	1189
2663009	1	1185
483	1	1055
550	1	1003
539	1	932
735	1	932
113107	1	873
484	1	726
1747	1	687
120683	1	677
1839799	1	645
488	1	627
1343	1	618
542	1	577
114527	1	546
1539298	1	536
1316593	1	526
1583098	1	524
712310	1	486
1705617	1	461
1305	1	453
52773	1	446
495	1	440
204	1	400
1302	1	398
76123	1	391
1852377	1	360
1308	1	348
78535	1	337
617123	1	324
712538	1	276
712357	1	251
2382163	1	248
2047	1	244
837	1	243
197575	1	237
1613	1	232
45634	1	222
713030	1	210
28135	1	208
10665	1	207
1307	1	201
28129	1	200
