TaxonomyInput	nb_genomes	Reads
47770	1	3095389
145261	1	39245
244366	1	30370
589873	1	21670
95486	1	18753
863372	1	9461
1587	1	6102
40324	1	3943
1604	1	3427
1774	1	3306
2082188	1	2922
75588	1	2897
1561223	1	2520
2282124	1	1929
52242	1	1768
85698	1	1767
550	1	1280
1579	1	1214
2107999	1	1184
93064	1	1133
33959	1	1118
267818	1	802
2690380	1	573
1633	1	480
1596	1	467
1520670	1	410
83683	1	381
294	1	374
47883	1	361
109790	1	327
217203	1	298
32002	1	282
964	1	265
80842	1	254
303	1	252
1515612	1	243
10847	1	242
317	1	237
82367	1	236
1747	1	224
68895	1	206
