Taxonomy	NbGenomes	Reads
147802	1	570559
145261	1	48960
589873	1	32189
47770	1	17457
244366	1	11516
109790	1	11294
95486	1	11123
28037	1	8301
1313	1	5946
1774	1	3727
134821	1	3127
10847	1	2975
1561223	1	2866
562	1	2699
1303	1	2660
1311	1	2492
1633	1	1719
573	1	1153
1596	1	1091
1433513	1	1014
2598453	1	905
87541	1	858
1870984	1	685
550	1	635
1328	1	585
1520670	1	534
1747	1	503
1587	1	417
1613	1	396
542	1	395
1314	1	358
1379	1	323
1282	1	307
1260	1	281
113107	1	245
1598	1	245
36809	1	222
1526658	1	218
236753	1	204
