accession	reads
GCF_004104465.2	5640030
GCF_001548235.1	397167
GCF_000722765.2	345905
GCF_002005185.1	304591
GCF_005696695.1	183603
GCF_002966695.1	151317
GCF_012273215.1	146281
GCF_016549395.1	137716
GCF_008253725.1	128664
GCF_900477945.1	119921
GCF_946902905.1	105212
GCF_032163505.1	100559
GCF_002763695.1	96316
GCF_013394695.1	95252
GCF_940796315.1	91587
GCF_001587175.1	78633
GCF_900636505.1	71000
GCF_000479315.1	67573
GCF_024346585.1	51966
GCF_017753665.1	49793
GCF_001262035.1	44321
GCF_019931005.1	42682
GCF_018127745.1	42679
GCF_001553685.1	41880
GCF_003627135.1	38044
GCF_032340315.1	35973
GCF_026057735.1	34475
GCF_003627155.1	33681
GCF_009731465.1	32229
GCF_037076355.1	30095
GCF_019334785.1	29825
GCF_018128305.1	29423
GCF_021497965.1	29350
GCF_008727815.1	26965
GCF_000001405.40	23305
GCF_034134805.1	22762
GCF_024205685.1	21868
GCF_030008055.1	19969
GCF_034137685.1	19296
GCF_000221985.1	18134
GCF_900186995.1	17207
GCF_020735905.1	16993
GCF_016127115.1	15853
GCF_900637555.1	15709
GCF_900120245.1	15612
GCF_010443215.1	15000
GCF_006228325.1	14650
GCF_030644385.1	14491
GCF_017798005.1	13977
GCF_029691405.1	13945
GCF_018127725.1	13206
GCF_002998595.1	12167
GCF_900636745.1	11109
GCF_030644365.1	10945
GCF_900636365.1	10580
GCF_037963785.1	10578
GCF_002355895.1	10539
GCF_003351545.1	9942
GCF_002094955.1	9870
GCF_900475505.1	8659
GCF_026810185.1	8644
GCF_027945475.1	8449
GCF_013267835.1	7627
GCF_009730295.1	7290
GCF_024730685.1	6852
GCF_001683375.1	6703
GCF_010587025.1	6656
GCF_019334725.1	6361
GCF_019552345.1	5876
GCF_946902045.1	5172
GCF_002302415.1	5132
GCF_920939465.1	5035
GCF_900637515.1	5002
GCF_019334745.1	5000
GCF_023822465.1	4348
GCF_900478185.1	4296
GCF_013393365.1	4252
GCF_029011355.1	4218
GCF_003963555.1	4119
GCF_014596425.2	4064
GCF_037911965.1	3998
GCF_016887735.2	3897
GCF_003589745.1	3811
GCF_003019755.1	3456
GCF_013394715.1	3279
GCF_037911955.1	3064
GCF_008330025.1	3046
GCF_001274535.1	3028
