accession	seq_abundance
GCF_000960005.1	0.2695292247293513
GCF_002076835.1	0.1466584525540416
GCF_009731465.1	0.026567144351995076
GCF_032340315.1	0.011977887241958352
GCF_001553685.1	0.00826423275573734
GCF_940796315.1	0.005884260974911418
GCF_002355895.1	0.004090898929442607
GCF_946902905.1	0.003193787998510798
GCF_013394695.1	0.0029318664292426995
GCF_006228325.1	0.0021313773656773333
GCF_029691405.1	0.0022367048740411974
GCF_001587175.1	0.001644076423920436
GCF_034134805.1	0.0005913387255285506
GCF_008727815.1	0.0005107309385153895
GCF_034137685.1	0.0004157212268892101
GCF_032387735.1	0.0004547353958035801
GCF_014844995.1	0.00012822011987560176
GCF_009707175.1	8.555173128330176e-05
GCF_002073815.2	0.0001292948903691106
GCF_032594935.1	9.82340231067058e-05
GCF_032594915.1	5.373852467544081e-05
GCF_028335765.1	8.307975914823148e-05
GCF_032595075.1	4.67525164676335e-05
GCF_000722675.1	0.05942975686971804
GCF_001068775.1	0.0344393008317004
GCF_024346585.1	0.031150933029760824
GCF_003627155.1	0.026323493881116627
GCF_900475045.1	0.005920480740542664
GCF_900636505.1	0.006365435724855315
GCF_902858935.1	0.002576439827039334
GCF_901544385.1	0.002352135225044044
GCF_001412635.1	0.0011554857575713283
GCF_900475975.1	0.000701825132261257
GCF_900459125.1	0.0005997219353779194
GCF_000959885.1	0.0018870820325027793
GCF_900459355.1	0.001658585825582805
GCF_000960085.1	0.0015332675860396771
GCF_000876695.1	0.0016004407418839781
GCF_003438245.1	0.001213738318319506
GCF_018127725.1	0.000886040794848668
GCF_009915015.1	0.00043216521543989496
GCF_016128095.1	0.0008349891964069992
GCF_001657915.1	0.0006576520649780445
GCF_004785935.1	0.0006919372437209758
GCF_009738105.1	0.0005671563894246022
GCF_903886475.1	0.0005757545533726728
GCF_003627135.1	0.000709885910962573
GCF_001552035.1	0.0015358470352240983
GCF_001708305.1	0.00023333267414076399
GCF_001623565.1	0.00023387005938751838
GCF_002953735.1	0.0002150615757511141
GCF_021654455.1	0.00019077176259781487
GCF_900102715.1	0.0001941035511276922
GCF_900475025.1	0.00016981373797439296
GCF_900475035.1	0.00021312698886279824
GCF_900459325.1	0.0002740664758447481
GCF_003595525.1	0.0001462762641665499
GCF_018137985.1	0.0001438042920314796
GCF_010993845.2	0.0001368182838236723
GCF_900460135.1	0.00013219677070158437
GCF_003172975.1	0.00011274342476907481
GCF_901553735.1	0.00011295837886777657
GCF_021654555.1	0.0001472435576107078
GCF_900187085.1	9.511718867553023e-05
GCF_001598035.1	9.361250998461789e-05
GCF_900459045.1	9.46872804781267e-05
GCF_013267695.1	0.0001291874133197597
GCF_027474505.1	9.329007883656524e-05
GCF_002900385.1	8.544425423395088e-05
GCF_000831485.1	7.802833782874005e-05
GCF_900636885.1	7.609375094042419e-05
GCF_900637075.1	7.426664110145919e-05
GCF_004843545.1	8.673397882616147e-05
GCF_009755785.1	9.318260178721436e-05
GCF_019774635.1	6.534604600533602e-05
GCF_003086355.1	5.180393778712494e-05
GCF_008803015.1	5.051421319491436e-05
GCF_001642085.1	4.191604924684383e-05
GCF_003963555.1	6.72806328936519e-05
GCF_900475675.1	4.5032883678019395e-05
GCF_002355215.1	3.3855270545527706e-05
GCF_002860805.1	2.2140272166281613e-05
GCF_900460105.1	0.00026525335779797583
GCF_016026695.1	2.203279511693073e-05
GCF_000759595.1	2.590196889356247e-05
GCF_020735385.1	0.002867917584878925
GCF_019931005.1	0.0018048620897493548
GCF_003263915.2	0.00018142125930428816
GCF_013267415.1	0.001798413466788302
GCF_017894345.1	0.0001011359034391796
GCF_003703885.1	4.2990819740352645e-05
GCF_009734005.1	3.3747793496176827e-05
GCF_000210115.1	2.3107565610439548e-05
GCF_900638055.1	0.05519172185971408
GCF_009730295.1	0.004234380790326034
GCF_009730315.1	0.0025016358006911205
GCF_018866345.1	0.00010317796737684634
GCF_001553915.1	0.0004092726039281572
GCF_003351945.1	9.683682146514434e-05
GCF_002220285.1	3.2350591854615366e-05
GCF_000534935.2	2.1710363968878085e-05
GCF_000418345.1	8.802370341837205e-05
GCF_026057735.1	0.011240487206361954
GCF_900186885.1	0.001841941671775409
GCF_013393365.1	0.0006296005550974645
GCF_018406505.1	0.0004005669629307358
GCF_900637515.1	0.00035811352843713755
GCF_902375065.1	0.00011714998379246096
GCF_900187285.1	8.221994275342443e-05
GCF_001717585.1	5.008430499751083e-05
GCF_026013845.1	2.1495409870176322e-05
GCF_003862475.1	0.0005586657025258826
GCF_003589745.1	0.0003959454498086479
GCF_030644385.1	0.00045806718433345745
GCF_005848555.1	2.1602886919527205e-05
GCF_000730705.1	3.3855270545527706e-05
GCF_905372415.1	9.82340231067058e-05
GCF_018885085.1	4.1486141049440305e-05
GCF_002998925.1	4.825719515854585e-05
GCF_003454775.1	0.000980405644178742
GCF_900445025.1	0.002827721168421695
GCF_030644365.1	0.0005833854238765854
GCF_016127995.1	6.771054109105541e-05
GCF_000186965.1	0.00030190303162662646
GCF_016694895.1	0.00029910862834350355
GCF_001278845.1	0.00012123411166779446
GCF_013394715.1	6.738810994300277e-05
GCF_016127855.1	0.0004370016826606846
GCF_016127955.1	0.0004490391121879834
GCF_900120245.1	0.00012553319364182972
GCF_900637975.1	0.00010962659033789925
GCF_030644185.1	9.436484933007405e-05
GCF_030253495.1	4.5677745974124686e-05
GCF_900637985.1	0.0032592415215654848
