accession	seq_abundance
GCF_002224675.1	0.37297659917967796
GCF_004535825.1	0.029615779661668687
GCF_022024215.1	0.0011021474526907741
GCF_900637655.1	9.931063397527324e-05
GCF_963552095.1	0.00018385483934915217
GCF_902388125.1	0.011823172102853382
GCF_037240925.1	0.0025002209629597797
GCF_021531735.1	0.0005186601352391472
GCF_022024015.1	0.00012308202337115944
GCF_022024035.1	8.505633584560359e-05
GCF_022024055.1	7.52831793435247e-05
GCF_019551475.1	7.09727478731755e-05
GCF_023204875.1	5.364566691315791e-05
GCF_000163055.2	2.5350458350370563e-05
GCF_018127805.1	2.287516107036805e-05
GCF_002208725.2	0.0004062901742348952
GCF_001548195.1	0.00026596642498233895
GCF_001065995.1	0.00017420971546500445
GCF_022024095.1	0.00014565844166635475
GCF_001546595.1	0.00013665348087186287
GCF_018128205.1	0.0001454877315091132
GCF_002849795.1	0.00015073706884429096
GCF_018127985.1	0.00011774733095736092
GCA_963544265.1	7.609405259042208e-05
GCF_017347605.1	5.616364173247081e-05
GCF_018127765.1	4.737206863453085e-05
GCF_018127825.1	5.5566156182125375e-05
GCF_001683355.1	4.4256608264872516e-05
GCF_018128125.1	2.8380563641408123e-05
GCF_020735565.1	0.0001887627563698468
GCF_001444445.1	0.00010690723597252232
GCF_018389405.1	0.00010293822481665623
GCF_003265305.2	4.5408901826252994e-05
GCF_020885855.1	0.2035180034559418
GCF_016888945.1	0.006302064197347087
GCF_902387545.1	0.005864192644022505
GCF_030373885.1	0.001370077044481391
GCF_001535605.1	0.04117755183624594
GCF_008571395.1	0.030131196303920242
GCF_014131755.1	0.021541146546603936
GCF_001405515.1	0.018566009926198158
GCF_018289135.1	0.01024743199643523
GCF_000939155.1	0.009698257420589156
GCF_009193325.2	0.004215132525069107
GCF_001314995.1	0.0060081013065771335
GCF_016889925.1	0.009914077736881789
GCF_020091505.1	0.003316300869653022
GCF_013874375.1	0.002283333708184387
GCF_000159075.2	0.0006136603377440712
GCF_004328515.1	0.0004689834794818554
GCF_015679285.1	0.0005190015555536303
GCF_011038705.2	9.320774585388773e-05
GCF_024758225.1	0.0004290799802266425
GCF_004115325.2	0.0005493452860033163
GCF_000157055.1	1.9247570228985057e-05
GCF_019930665.1	0.001056738550864521
GCF_900066265.1	0.001001983267929293
GCF_012113595.1	0.000915561250825757
GCF_025914135.1	0.000844204405098788
GCF_018292125.1	0.0009175670951733453
GCF_017309675.2	0.002971637062182327
GCF_016894205.1	0.0007221893202103883
GCF_001688725.2	0.00060363111600613
GCF_020341675.1	0.0004442305066818303
GCF_009193295.2	0.00040462575020179005
GCF_034167995.1	0.00034321277113414153
GCF_002998535.1	0.0003066807974844493
GCF_002998435.1	0.0002590526636140561
GCF_029265535.1	0.00014599986198083787
GCF_024592595.1	0.05490576393883643
GCF_012273055.1	0.012993176843047674
