accession	reads
GCF_024759225.1	460932
GCF_020735905.1	409519
GCF_963360665.1	405413
GCF_016117815.1	210286
GCF_013393365.1	167451
GCF_018289315.1	101649
GCF_020091405.1	100976
GCF_032163505.1	95005
GCF_018406505.1	89979
GCF_026057735.1	85926
GCF_008728395.1	72563
GCF_002082765.1	72089
GCF_018289135.1	67404
GCF_004104465.2	66933
GCF_017753665.1	63391
GCF_009193325.2	54430
GCF_900637515.1	53786
GCF_002005185.1	51199
GCF_002094955.1	44723
GCF_024205685.1	37481
GCF_001262035.1	36663
GCF_016888945.1	30272
GCF_014334015.1	30038
GCF_030644385.1	29606
GCF_019931005.1	27552
GCF_013009555.1	26283
GCF_963360645.1	24976
GCF_002763695.1	24689
GCF_008369705.1	23303
GCF_013267835.1	22663
GCF_025914115.1	22347
GCF_013267735.1	21730
GCF_001298465.1	21151
GCF_005696695.1	21084
GCF_001548235.1	20477
GCF_900475505.1	18344
GCF_013267415.1	17169
GCF_016549395.1	16996
GCF_034137685.1	16920
GCF_002998925.1	16729
GCF_024760065.1	16702
GCF_001274535.1	16595
GCF_022845635.1	15703
GCF_002849795.1	15496
GCF_025147085.1	14232
GCF_002302415.1	13899
GCF_011612265.2	13203
GCF_022404755.1	12931
GCF_027923645.1	12582
GCF_030008055.1	12572
GCF_009730295.1	9956
GCF_019334725.1	9816
GCF_027945475.1	9756
GCF_030408675.1	9730
GCF_025914295.1	9584
GCF_002302595.1	9296
GCF_026810185.1	9262
GCF_021497965.1	9211
GCF_022749515.1	9112
GCF_946902045.1	9036
GCF_008330925.1	8860
GCF_012113595.1	8756
GCF_034134805.1	8230
GCF_013394695.1	7955
GCF_014054985.1	7551
GCF_008727815.1	7510
GCF_946902905.1	7377
GCF_022453685.1	7360
GCF_003351545.1	7143
GCF_021222645.1	7132
GCF_019334745.1	6727
GCF_037967965.1	6353
GCF_036323475.1	6138
GCF_032452855.1	5861
GCF_940796315.1	5815
GCF_963677685.1	5753
GCF_018127845.1	5572
GCF_020550085.1	5475
GCF_014596425.2	5463
GCF_009193295.2	5339
GCF_003589745.1	5151
GCF_023008285.1	5046
GCF_020091485.1	4894
GCF_016127355.1	4891
GCF_003019755.1	4829
GCF_902388275.1	4821
GCF_013394715.1	4435
GCF_020091345.1	4315
GCF_001553685.1	4307
GCF_016697125.1	4282
GCF_018289295.1	4250
GCF_032342915.1	4209
GCF_002763715.1	4017
GCF_030644365.1	3922
GCF_918429265.1	3855
GCF_005696855.1	3850
GCF_016127855.1	3792
GCF_025150745.1	3611
GCF_963931595.1	3582
GCF_032340315.1	3577
GCF_025151715.1	3542
GCF_037911965.1	3306
GCF_005221285.1	3221
GCF_025914175.1	3163
GCF_013874375.1	3147
GCF_900636505.1	3093
GCF_015679285.1	2885
GCF_009730375.1	2856
GCF_002073815.2	2791
GCF_037911955.1	2754
GCF_002302615.1	2552
GCF_025152575.1	2542
GCF_018127725.1	2479
GCF_900120245.1	2376
GCF_001587175.1	2300
GCF_020097375.1	2256
GCF_900683755.1	2219
GCF_020341675.1	2210
GCF_018127745.1	2193
GCF_000001405.40	2171
GCF_012273215.1	2100
GCF_001683375.1	2032
GCF_007990365.1	2031
GCF_004328515.1	1994
GCF_002998535.1	1991
GCF_020181455.1	1903
GCF_000722765.2	1886
GCF_016694895.1	1841
GCF_036416795.1	1838
GCF_003351565.1	1791
GCF_028743455.1	1784
GCF_008253725.1	1769
GCF_030644325.1	1753
GCF_038630745.1	1732
GCF_000479315.1	1703
GCF_900478185.1	1696
GCF_032387735.1	1618
GCF_007990635.1	1575
GCF_020735865.1	1560
GCF_019551945.1	1539
GCF_011801285.1	1534
GCF_900637555.1	1528
GCF_020735745.1	1489
GCF_002209445.1	1484
