accession	reads
GCF_008330925.1	214663
GCF_002966695.1	104834
GCF_000001405.40	48171
GCF_004104465.2	17440
GCF_020735905.1	9147
GCF_018128125.1	7778
GCF_032163505.1	7697
GCF_005696695.1	5905
GCF_000722765.2	5066
GCF_030644365.1	5046
GCF_013393365.1	4674
GCF_001548235.1	4539
GCF_026057735.1	4158
GCF_002082765.1	3574
GCF_013394695.1	3552
GCF_021222645.1	3521
GCF_002763695.1	3394
GCF_002094955.1	3373
GCF_002849795.1	3252
GCF_019931005.1	3233
GCF_016549395.1	3015
GCF_038424135.1	2659
GCF_034137685.1	2600
GCF_001298465.1	2578
GCF_024205685.1	2494
GCF_008253725.1	2479
GCF_009730295.1	2378
GCF_018406505.1	2365
GCF_003351565.1	2255
GCF_012273215.1	2172
GCF_946902905.1	2020
GCF_008727815.1	1790
GCF_940796315.1	1700
GCF_001553685.1	1696
GCF_030515895.1	1692
GCF_034134805.1	1596
GCF_032340315.1	1534
GCF_018127845.1	1521
GCF_007990545.2	1519
GCF_900637515.1	1497
GCF_018127765.1	1471
GCF_002998925.1	1464
GCF_002763715.1	1427
GCF_018128245.1	1283
GCF_002237445.1	1270
GCF_030644385.1	1210
GCF_002005185.1	1130
GCF_021497965.1	1119
GCF_963967315.1	1113
GCF_030008055.1	928
GCF_001587175.1	835
GCF_013267735.1	818
GCF_036323475.1	809
GCF_900636505.1	808
GCF_900477945.1	778
GCF_019552345.1	775
GCF_900475315.1	772
GCF_024346585.1	683
GCF_037911955.1	670
GCF_943181435.1	640
GCF_918429265.1	627
GCF_003390995.1	624
GCF_900475505.1	620
GCF_019334745.1	620
GCF_014055025.1	603
GCF_019334725.1	599
GCF_037076355.1	597
GCF_001274535.1	556
GCF_014596425.2	542
GCF_018128225.1	540
GCF_013267835.1	537
GCF_003351545.1	534
GCF_018866205.1	528
GCF_900637655.1	498
GCF_003627155.1	477
GCF_027474965.1	474
GCF_946902045.1	469
GCF_009731465.1	449
GCF_017753665.1	431
GCF_000221985.1	418
GCF_000479315.1	415
GCF_900187285.1	411
GCF_018127725.1	409
GCF_032342915.1	397
GCF_900120245.1	395
GCF_900478185.1	381
GCF_003019755.1	370
GCF_003589745.1	368
GCF_011612265.2	363
GCF_018128205.1	342
GCF_027945475.1	337
GCF_014054985.1	329
GCF_037967965.1	314
GCF_037911965.1	312
GCF_001262055.1	308
GCF_008330025.1	284
GCF_037889265.1	280
GCF_026810185.1	277
GCF_009867035.2	271
GCF_017798005.1	267
GCF_005221285.1	255
GCF_019930845.1	251
GCF_002998595.1	232
GCF_019973735.1	226
GCF_029691405.1	225
GCF_018127745.1	219
GCF_021491935.1	207
GCF_003033925.1	201
GCF_002073815.2	200
