accession	seq_abundance
GCF_902375065.1	0.06796560386114203
GCF_013393365.1	0.0701570447949175
GCF_900637515.1	0.04797337099356554
GCF_018406505.1	0.038867323203335045
GCF_026057735.1	0.029712476675365234
GCF_900186885.1	0.014129122621932942
GCF_900187285.1	0.000999502717624942
GCF_003367905.1	0.00034623866300753593
GCF_003315775.1	0.0002346986910319539
GCF_036305205.1	0.00018793323403177496
GCF_003006415.1	0.00020158526185170295
GCF_003570845.1	8.321927596615691e-05
GCF_928721695.1	5.097725281696523e-05
GCF_007164725.1	3.1806320133662065e-05
GCF_001189555.1	0.0014248940951203585
GCF_001554015.1	0.0010684890284171317
GCF_001717585.1	0.00018575471895412686
GCF_026013845.1	0.00025125540562207936
GCF_030644225.1	6.811490476113018e-05
GCF_013394695.1	0.026139131010668334
GCF_034137685.1	0.008450750454873947
GCF_946902905.1	0.00709397126451472
GCF_001553685.1	0.00654774491737909
GCF_032340315.1	0.005817506663351451
GCF_008727815.1	0.0062617785048531506
GCF_034134805.1	0.0063361384861702055
GCF_940796315.1	0.0035062474003053406
GCF_002073815.2	0.002198702650700959
GCF_009731465.1	0.0007964651123881405
GCF_001587175.1	0.0007642230892389489
GCF_002355895.1	0.0003549527233181283
GCF_006228325.1	0.00028248078840170193
GCF_029691405.1	0.0002910496143737844
GCF_014844995.1	4.182748949084326e-05
GCF_032594915.1	2.904686770197449e-05
GCF_032387735.1	2.9192102040484363e-05
GCF_902141215.1	8.205740125807793e-05
GCF_003812445.1	0.00031501328022791336
GCF_902858935.1	0.04286823876060501
GCF_900459355.1	0.027449435212704404
GCF_000722675.1	0.0064623471263352845
GCF_000960005.1	0.006271363971194802
GCF_000960085.1	0.004660715157120317
GCF_018127725.1	0.0017779587720378586
GCF_002076835.1	0.0028303267888803944
GCF_900636505.1	0.0013861165267382227
GCF_903886475.1	0.0010183831816312256
GCF_901544385.1	0.0008147646390403845
GCF_024346585.1	0.0008005316738664169
GCF_001412635.1	0.0004034609923804257
GCF_900475975.1	0.00041929153527800174
GCF_900459125.1	0.0003931493543462247
GCF_003438245.1	0.0008101171402080685
GCF_003627155.1	0.0006490522588006199
GCF_900475045.1	0.0004195820039550215
GCF_001657915.1	0.0003890827928679483
GCF_009915015.1	0.0002604051689482013
GCF_016128095.1	0.00024660790678976343
GCF_003627135.1	0.000503236982936708
GCF_004785935.1	0.0004221962220481992
GCF_001068775.1	0.0003808044355728856
GCF_000876695.1	0.00027986657030852424
GCF_000959885.1	0.00023382728500089464
GCF_001552035.1	0.0004654760549241412
GCF_900475035.1	0.00011081380028303268
GCF_009738105.1	6.651732703752158e-05
GCF_021654455.1	6.579115534497222e-05
GCF_900637075.1	6.041748482010694e-05
GCF_900102715.1	5.388193958716268e-05
GCF_002953735.1	4.458694192253084e-05
GCF_010993845.2	4.3425067214451864e-05
GCF_901553735.1	4.182748949084326e-05
GCF_001708305.1	3.6889521981507604e-05
GCF_003172975.1	3.5146709919389136e-05
GCF_027474505.1	3.6018115950448366e-05
GCF_900459325.1	6.564592100646235e-05
GCF_013267695.1	0.000568156732250621
GCF_019931005.1	0.010100322071669079
GCF_020735385.1	0.0002740571967681293
GCF_009556455.1	3.790616235107671e-05
GCF_035231985.1	7.334334094748558e-05
GCF_009734005.1	6.245076555924515e-05
GCF_000210115.1	5.794850106543911e-05
GCF_013267415.1	6.898631079218941e-05
GCF_009730295.1	0.004061333042090073
GCF_900638055.1	0.0009607251492428062
GCF_009730315.1	0.0004253913774954164
GCF_001553915.1	7.363380962450533e-05
