Taxonomy	NbGenomes	Reads
47770	1	435567
145261	1	277486
244366	1	128739
821	1	42560
589873	1	33385
853	1	19867
28116	1	14696
729	1	13129
2528203	1	10992
28037	1	9421
823	1	7932
1587	1	7815
2109691	1	7022
292800	1	3466
1313	1	3445
28118	1	3125
1520	1	3042
357276	1	3036
818	1	3019
726	1	3018
371601	1	2922
820	1	2843
43768	1	2639
2585119	1	2503
817	1	2344
1633	1	2284
1433513	1	2242
1303	1	2202
28132	1	2155
1177574	1	1775
727	1	1616
39778	1	1571
1660	1	1506
1379	1	1370
29466	1	1266
28131	1	1210
2610895	1	1178
39777	1	1120
1304	1	1115
2718	1	1076
712310	1	1052
2585118	1	1026
199	1	1014
2093856	1	997
1604	1	976
1796613	1	929
43675	1	905
2093857	1	853
28135	1	853
2598453	1	811
2364787	1	760
2109687	1	752
2109688	1	749
1550024	1	741
157687	1	736
2479767	1	687
544580	1	667
210	1	659
95486	1	659
74426	1	651
2663009	1	643
47678	1	602
1305	1	598
824	1	587
1655	1	579
1750	1	559
301301	1	555
2094242	1	552
573	1	515
68570	1	512
851	1	505
550	1	503
28129	1	486
246787	1	480
2494234	1	470
329854	1	459
2610896	1	438
2025876	1	402
1309	1	401
2133944	1	384
712710	1	367
39488	1	360
1302	1	343
1747	1	330
712122	1	327
113107	1	323
52242	1	304
1613	1	298
712633	1	295
28113	1	294
33959	1	271
1496	1	268
2584944	1	266
488	1	254
76123	1	246
249188	1	243
114527	1	236
1598	1	233
837	1	227
28119	1	227
1852377	1	226
1656	1	218
33038	1	216
2662363	1	215
10847	1	208
28449	1	202
2584943	1	200
