accession	reads
GCF_011058695.1	814462
GCF_001936235.1	323736
GCF_000001405.40	47200
GCF_009933525.1	6163
GCF_002831585.1	4519
GCF_029011845.1	3076
GCF_009867035.2	2376
GCF_024652885.1	1870
GCF_022404755.1	1782
GCF_016466415.2	1718
GCF_004136315.1	760
GCF_002849915.1	690
GCF_016026575.1	560
GCF_023935105.1	471
GCF_900637625.1	469
GCF_018135625.1	465
GCF_002749615.1	330
GCF_021173085.1	322
GCF_027359115.1	314
GCF_015291625.1	308
GCF_003856435.1	279
GCF_003722335.1	274
GCF_011045195.1	267
GCF_003390995.1	247
GCF_010977555.1	246
GCF_027474405.1	234
GCF_038963755.1	218
GCF_027912495.1	216
GCF_027286305.1	207
GCF_033814055.1	203
