accession	seq_abundance
GCF_009556455.1	0.778365364974763
GCF_009769205.1	0.03732931758023641
GCF_001936235.1	0.015037943513680655
GCF_001063045.1	0.0024187493220599234
GCF_028607025.1	0.0031231026482276356
GCF_025311515.1	0.00042683811565763356
GCF_000960005.1	0.009773606753903173
GCF_002076835.1	0.009132645227090556
GCF_000722675.1	0.007205534526695695
GCF_001552035.1	0.00921153279962134
GCF_009731465.1	0.0011664091081337313
GCF_032340315.1	0.0009100244974086841
GCF_001553685.1	0.00031555029012313504
GCF_003812445.1	0.0003620376096502041
GCF_003812685.1	0.0003169589967754705
GCF_001412635.1	0.002718803839007369
GCF_001068775.1	0.0016326910100567568
GCF_024346585.1	0.0012438879740121797
GCF_003627155.1	0.0009635553501974302
GCF_000876695.1	0.00030428063690445163
GCF_016128095.1	0.00030428063690445163
GCF_001543105.1	0.0011523220416103771
GCF_003263915.2	0.0004493774220950004
GCF_006094375.1	0.00041979458239595647
GCF_000418345.1	0.0014523765585578224
GCF_900638055.1	0.0004521948353996712
GCF_900128415.1	0.00045642095535667747
GCF_001546385.1	0.0004944560349697339
GCF_003096635.1	0.0013918021725073991
GCF_002892425.1	0.0004352903555716461
GCF_004355245.1	0.01176974408026247
GCF_004028015.1	0.0003437244231698435
GCF_000730465.1	0.0005648913675865052
GCF_002205515.1	0.00446700879455563
GCF_000157115.2	0.0212672443303079
GCF_000710235.1	0.0005282649946257842
GCF_001065995.1	0.0007339361658667561
GCF_000001405.40	0.07135803547405092
