entry	nb	reads
487	1	183496
727	1	88104
729	1	15020
28132	1	7641
39778	1	6955
1660	1	6904
28037	1	5683
2610896	1	5257
712633	1	4542
43675	1	4254
39777	1	4247
1177574	1	3514
28449	1	3396
589873	1	3244
1304	1	3168
2663009	1	3003
1303	1	2499
84135	1	2406
28131	1	2330
199	1	2314
29466	1	2228
486	1	2026
1313	1	1942
157687	1	1813
655307	1	1615
114527	1	1423
43990	1	1409
1379	1	1166
485	1	1156
484	1	1018
113107	1	978
483	1	906
1433513	1	884
495	1	832
2047	1	806
2598453	1	725
1305	1	675
28135	1	637
617123	1	635
489	1	635
726	1	619
78535	1	606
52773	1	590
851	1	589
95486	1	582
172042	1	574
712357	1	537
860	1	507
488	1	507
248315	1	504
28129	1	492
1302	1	446
1852377	1	432
45634	1	422
33033	1	402
539	1	392
1747	1	380
43768	1	353
2382163	1	327
712368	1	311
735	1	295
732	1	289
249188	1	277
40215	1	263
29391	1	259
712710	1	246
1335	1	237
712310	1	230
1156431	1	226
1839799	1	218
1156433	1	216
